Community,HR System Installed (Yes/No),HR Date of operation,HR in progress (as of November 2016),HR Functioning as of November 2016 (Yes/No),Heat Sales Agreement (Yes/No),BTU Meter Installed (Yes/No),Buildings Connected,Est. current annual heating fuel gallons displaced,Identified as priority by HR working group,Year of Feasibility Study Completion,Feasibility in progress,Project Name,Phase Completed,New/Repair/Extension,Total Round-trip Distance of Piping (feet),Above or below ground,Number of Buildings/Facilities,Buildings/Facilities to be Served,Proposed Gallons of Diesel Offset,Proposed Maximum Btu/hr,Total CAPEX,Source,Link,Notes
Kokhanok,Yes,Unknown,No,unknown,Unknown,unknown,School,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,HR is operational.  Wind system is not operational.  Community is developing a path forward to get the wind system operational.  
Koliganek,Yes,Unknown,No,unknown,Unknown,unknown,school,unknown,No,Unknown,No,,,,,Unknown,,school and clinic,,,Unknown,,USDA?,In design.  Received USDA high cost energy grant.  Target 2018.  Upgrade to school and expansion to clinic.
Kongiganak,Yes,2005,No,Yes,Unknown,unknown,"Washeteria, Water Treatment Plant",12249,No,Unknown,No,,,,,Unknown,,,,,,,,ANTHC performed repairs to prevent back feeding.  WTP is still burning some fuel.  Expansion potential unknown.
Kotlik,Yes,2001,No,Yes,Unknown,unknown,Water Treatment Plant,43545,No,Unknown,No,,,,,Unknown,,,,,,,,"installed 2001 and it is operational  - WTP - Potential expansion for city office, tribal office or a portion of the new school.  Need feasibility study"
Kotzebue,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Koyuk,Yes,Unknown,No,unknown,Unknown,unknown,,11971,No,2014,No,,,,,Unknown,,WTP,,,511140,,,Funding for new WTP -  will be HR ready.  Need funding to connect.
Koyukuk,Yes,2005,No,Yes,Unknown,unknown,School,18250,Yes,Unknown,No,,,,,Unknown,,,,,,,,Potential to improve controls on hydronic system in school and integration.  School has been notified.  
Kwethluk,Yes,Unknown,No,unknown,Unknown,unknown,School,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,getting new school - revisit in 2017 when school is located.
Kwigillingok,Yes,Unknown,No,Yes,Unknown,unknown,New Water Treatment Plant - ANTHC,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,"HR functional, received loan for new generators - Potential to extended HR to Washeteria and WTP. ANTHC may complete full feasibility study to attract construction funding. "
Larsen Bay,Yes,2015,No,unknown,Unknown,unknown,school,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,electric boiler is complete - April 2015
Levelock,Yes,2006,No,unknown,Unknown,unknown,school,9300,No,2006,No,,,,,Unknown,,,,,,,, no expansion opportunities
Lime Village,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,,,,,Unknown,,,,,,,,regional planning to call  
Manley Hot Springs,Yes,Unknown,No,unknown,Unknown,unknown,store/garage and hangar,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Regional Planning to investigate status
Manokotak,Yes,Unknown,No,Yes,Unknown,unknown,village fire hall and two maintenance shops,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Regional Planning to call to see if functional
Marshall,Yes,2015,No,Yes,Unknown,unknown,"WTP , store",7700,No,2012,No,,,,,Unknown,,,,,189200,,,Minor maintenance issues - Pump has heating/cooling issues.
McGrath,Yes,2010,No,Yes,Yes  ,Yes,"5 customers - School complex, Innoco Building, AC Store, B&B, warehouse, clinic",60000,No,2008,No,,,,,Unknown,,,,,,,, 
Mekoryuk,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,,,,,Unknown,,,,,,,,Turbine that failed has been repaired.  Wind to heat to WTP completed in NOV 2014. NO HR.
Metlakatla,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Minto,Yes,Unknown,Yes,unknown,Unknown,unknown,Water Treatment Plant,unknown,Yes,Unknown,No,,,,,Unknown,,,,,,,,0
Mountain Village,Yes,unknown,No,Yes,Unknown,unknown,powerhouse only,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Funding for Intertie from St. Mary's - 2018 - might need some additional funding.
Naknek,Yes,1908s,No,Yes,Unknown,unknown,,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,looking at large expansion for summer loads - 2-3 MW with Urea injection. Hiring project manager.   Low HR potential with Tier 4 engines
Napakiak,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,Unknown,No,,,,,Unknown,,,,,,,,Tie line from Bethel
Napaskiak,Unknown,unknown,No,unknown,Unknown,unknown,Unknown,unknown,No,2011,No,"Napaskiak, Alaska Heat Recovery Study",Feasibility,New,1550,Unknown,4,"Garage, Tribal Office, VPSO,j Headstart",6699,,532717,ANTHC HR Study,http://akenergyinventory.org/catalog/entries/8385-napaskiak-alaska-heat-recovery-study,"Need funding for HR for head start, tribal office and city garage - encouraged to apply for RE Fund. There is potential for expansion due to the newly installed marine manifolds."
Naukati Bay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Nelson Lagoon,Yes,Unknown,No,unknown,Unknown,unknown,powerhouse only,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,APIC building about 30' away - only uses about 600 gallons per year - could do desktop feasibility.
New Stuyahok,Yes,2016,No,No,Unknown,unknown,School,27000,No,2012,No,,,,,Unknown,,,,,,,,Complete - will expand to include teacher housing using remaining RE Fund funds.
Newhalen,Yes,Unknown,No,unknown,Unknown,unknown,0,5000,No,Unknown,No,,,,,Unknown,,,,,,,,intertie with Iliamna
Newtok,yes,Unknown,No,Yes,Unknown,unknown,Water Tank,1000,No,Unknown,No,,,,,Unknown,,,,,,,,Gavin - leading project for village relocation - new generator installed - not sure on HR. SEA funding to design new bulk fuel and PP.
Nightmute,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,Unknown,No,,,,,Unknown,,,,,,,,served from Tooksook Bay
Nikolai,Yes,Unknown,Yes,unknown,Unknown,unknown,city shop,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Regional planning to investigate.  Community managed new PP.  HR unknown
Nikolski,Unknown,unknown,No,unknown,Unknown,unknown,Unknown,660,No,Unknown,No,,,,,Unknown,,,,,,,,Regional Planning to investigate status
Noatak,yes,2012,No,yes,Yes  ,unknown,water treatment plant,unknown,Yes,Unknown,No,,,,,Unknown,,,,,,,,ANTHC completed in 2012 - upgraded to marine 3456 in 2015. - More heat is available.  ANTHC to work with AVEC in feasibility. HR could be impacted if PP and airports plans materialize.
Nome,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Noorvik,Yes,2016,No,unknown,Yes  ,unknown,,18600,No,Unknown,No,,,,,Unknown,,,,,1015580,,,Additional funding through RACEE to expand to City Office and perform power plant upgrades.  Timing unknown.
Northway,Unknown,Unknown,No,unknown,Unknown,unknown,Unknown,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,ANTHC - Gavin to investigate
Nuiqsut,Yes,Unknown,No,unknown,Unknown,unknown,"School, Washeteria, and Water Treatment Plant",unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Regional Planning to call
Nulato,Unknown,Unknown,No,unknown,Unknown,unknown,Unknown,7300,No,Unknown,No,,,,,Unknown,,,,,,,,Remote plant - no end users
Nunam Iqua,Yes,2015,No,unknown,Unknown,unknown,"new washeteria, WTP, clinic, store, hotel",18000,No,2013,No,,,,,Unknown,,,,,603000,,, 
Nunapitchuk,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Old Harbor,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,,,,,Unknown,,,,,,,,no opportunities - pursuing Hydro
Ouzinkie,Yes,unknown,No,unknown,Unknown,unknown,Unknown,4835,No,Unknown,No,,,,,Unknown,,,,,,,,New dam is complete.  PP too remote for HR.
Pedro Bay,Yes,2005,No,unknown,Unknown,unknown, Village Office,unknown,No,Unknown,No,,,,,Unknown,,,,,,,, 
Pelican,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Perryville,No,unknown,Yes,Yes,Unknown,unknown,school,10950,No,Unknown,No,,,,,Unknown,,,,,,,Alan,in construction - December 2016 target completion
Petersburg,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Pilot Point,Yes,2008,No,Yes,Unknown,unknown,School,2845,No,Unknown,No,,,,,Unknown,,,,,,,,0
Pilot Station,Yes,Unknown,No,Yes,Unknown,unknown,powerhouse only,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,potential for feasibility to school
Pilot Station ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Platinum,Yes,Unknown,No,unknown,Unknown,unknown,,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Regional Planning to investigate status
Point Hope,Yes,Unknown,No,Yes,Unknown,unknown,"school, Laundromat, senior center, and clinic",unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Operational
Point Lay,Yes,2013,No,unknown,Unknown,Yes,"Washeteria/WTP, community buildings",unknown,No,Unknown,No,,,,,Unknown,,,,,,,, 
Port Alsworth,Yes,Unknown,No,unknown,Unknown,unknown,School,14600,No,Unknown,No,,,,,Unknown,,,,,,,,CDR completed - new pp will expand heat recovery - need funding
Port Heiden,Yes,Unknown,No,unknown,Unknown,unknown,fire hall,unknown,No,Unknown,Yes,,,,,Unknown,,,,,,,,Draft CDR complete November 2016.  Currently heating the fire hall.
Quinhagak,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,"Quinhagak, Alaska Heat Recovery Study",Feasibility,New,7800,Unknown,2,"Combined Utility Building, Washeteria",14200,165000,630000,ANHTC HR Study,http://akenergyinventory.org/catalog/entries/8388-quinhagak-alaska-heat-recovery-study,Unknown
Rampart,Unknown,unknown,No,unknown,Unknown,unknown,Unknown,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Installed tier 4 engines and there is probably not much waste heat available.  Desktop feasibility
Red Devil,Unknown,unknown,No,unknown,Unknown,unknown,Unknown,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,no heat recovery potential
Ruby,Yes,2011,No,unknown,Unknown,unknown,"clinic, garage, Washeteria",14600,No,2009,No,,,,,Unknown,,,,,,,,control related issues to be addressed by ANTHC - 2017
Russian Mission,No,2017,Yes,No,N/A,N/A,,N/A,No,2011,No,,,,,Unknown,,WTP and teacher housing,2200,,351929,,,In construction - target -2017 - issue with heat sales agreement with teacher housing.
Saint George,Yes,2014,No,Yes,Unknown,unknown,"school, city shop fire hall, city hall.",unknown,No,2012,No,,,,,Unknown,,,,,,,, 
Saint Mary's,No,N/A,Yes,Yes,N/A,N/A,,N/A,No,2013,No,St Marys Heat Recovery System,Feasibility,New,1600,Unknown,4,"City Shop, Water Circulation, Cold Storage/Hotel, City Office",15726,510000,757299,ANTHC HR Study,http://akenergyinventory.org/catalog/entries/8393-st-mary-s-alaska-heat-recovery-study,Design complete - USDA funds for construction in 2017.
Saint Michael,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,No,,,,,Unknown,,,,,,,,intertie from Stebbins - Wind to heat in construction.
Saint Paul,Yes,2016,No,unknown,Unknown,unknown,"Utility, public works office, firehouse",unknown,No,Unknown,No,,,,,Unknown,,,,,,,,0
Sand Point,Yes,Unknown,No,unknown,Unknown,unknown,"Shop, living quarters, and office building",3650,No,Unknown,No,,,,,Unknown,,,,,,,,TDX will install heat recovery in next 2 years. 3/10/15 Might need help with heat sales agreements. Funded round 8 RE Fund for wind to heat for school. High energy cost grant.
Savoonga,Yes,2014,No,unknown,Unknown,unknown,WTP,7641,No,2011,No,,,,,Unknown,,,,,317305,,, 
Scammon Bay,Yes,Unknown,No,yes,Unknown,unknown, ,unknown,No,2014,No,"Scammon Bay, Alaska Heat Recovery Study",Feasibility,New,600,Unknown,4,"Water System Heating, City Office Building, Clinic, New Community Hall",11578,150000,606355,ANTHC HR Study,http://akenergyinventory.org/catalog/entries/8391-scammon-bay-alaska-heat-recovery-study,"HR will serve the old clinic, city office, water distribution, community office - working to identify  design and construction funding."
Selawik,Yes,Unknown,No,yes ,No,unknown,Power Plant,1935,No,2014,No,Selawik Heat Recovery,Feasibility,New,1800,Unknown,1,WTP,1935,83000,198731,ANTHC HR Study,http://akenergyinventory.org/catalog/entries/8402-selawik-heat-recovery,Opportunity for insulation improvements
Shageluk,Unknown,unknown,No,unknown,Unknown,unknown,Unknown,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,power plant too remote - potential water treatment plant work might make HR feasible.
Shaktoolik,Yes,2015,No,Yes,Unknown,unknown,Water line  ,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Also has wind to heat
Shishmaref,No,2017,Yes,unknown,N/A,N/A,,N/A,No,2011,No,,,,,Unknown,,"city hall, pump house",7900,,327201,,,In Design - removed clinic - 2017 construction
Shungnak,Yes,2012,No,unknown,No,unknown,"WTP, city offices",unknown,No,Unknown,No,,,,,Unknown,,,,,,,,"Line to the city office does not work, considering 3456.  Potential expansion to school or 6 other buildings.  Feasibility study is complete."
Sitka,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Skagway,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Slana,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Sleetmute,Yes,2014,No,unknown,Unknown,unknown,Circulating Water line,1779,No,2011,No,,,,,Unknown,,,,,,,,Complete September 2014
Stebbins,Yes,2016,No,unknown,Unknown,unknown,"School, health clinic, new WTP, old WTP, Washeteria",57000,No,2012,No,,,,,Unknown,,,,,1341063,,,secondary load design in progress for wind to heat.
Stevens Village,Yes,Unknown,No,unknown,Unknown,unknown,water treatment plant,unknown,No,2004,No,,,,,Unknown,,,,,,,,Regional Planning to investigate status
Stony River,Yes,Unknown,No,unknown,Unknown,unknown,,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,remote location - no HR potential
Takotna,Yes,Unknown,No,unknown,Unknown,unknown,powerhouse and #2 diesel fuel tank,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,no interest from the utility - low loads
Tanana,Yes,Unknown,No,unknown,Unknown,unknown,powerhouse only,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Installed Detroit Diesels - potential for feasibility study - low priority
Tatitlek,Yes,2015,No,unknown,Unknown,unknown,"offices, shop, school housing, church",6000,No,2011,No,,,,,Unknown,,,,,295800,,, 
Telida,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Teller,Yes,Unknown,No,unknown,Unknown,unknown,,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,AVEC will build new PP and HR in 2017 - will heat school and WTP - need funding for HR completion.
Tenakee Springs,Yes,Unknown,No,Yes,Unknown,unknown,Powerhouse,8091,Yes,Unknown,No,,,,,Unknown,,,,,,,,too remote for HR.
Thorne Bay,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Togiak,No,,Yes,unknown,Unknown,unknown,,N/A,No,2011,No,Togiak Waste Heat Recovery Project,Feasibility,Repair,1200,Unknown,5,"Clinic, Police Station, WTP, City Office, Old School",13700,523000,486180,ANTHC HR Study,http://akenergyinventory.org/catalog/entries/8398-togiak-alaska-heat-recovery-study,Funding through the RE Fund for design and construction - Togiak is responsible for the project. Funded for new pp through Denali Commission.  Design in progress.
Tok,Yes,Unknown,No,unknown,Unknown,unknown,,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,0
Toksook Bay,Yes,2015,No,Yes,Unknown,unknown,WTP,unknown,No,Unknown,No,,,,,Unknown,,,,,,,, Wind to heat supplements HR system. - Maintenance issues
Tuluksak,Yes,Unknown,No,unknown,Unknown,unknown,,unknown,No,Unknown,No,,,,,Unknown,,,,,,,,Focus on community capability development.
Tuntutuliak,No,unknown,Yes,Yes,Unknown,unknown,,N/A,No,2013,No,Tuntutuliak Heat Recovery,Feasibility,New,1400,Unknown,1,WTP/Washeteria,6145,300000,469311,ANTHC HR Study,http://akenergyinventory.org/catalog/entries/8399-tuntutuliak-alaska-heat-recovery-study,ANTHC seeking additional funding. Design is complete
Tununak,No,N/A,No,N/A,N/A,N/A,N/A,N/A,No,Unknown,No,,,,,Unknown,,,,,,,,served from Tooksok Bay
Twin Hills,Yes,unknown,No,unknown,Unknown,unknown,powerhouse only,unknown,No,2011,No,"Twin Hills, Alaska Heat Recovery Study",Feasibility,New,700,Unknown,3,"New Clinic, old Clinic, Post Office",4500,,381562,ANTHC HR Study,http://akenergyinventory.org/catalog/entries/8400-twins-hills-alaska-heat-recovery-study,potential to intertie with Togiak - HR economics are marginal
Unalakleet,Yes,2010,No,Yes,Unknown,unknown,"School, baler facility, WTP",unknown,No,2007,No,,,,,Unknown,,,,,,,,control issues - all available heat is going to school.
Unalaska,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Upper Kalskag,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Valdez,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Venetie,Yes,2016,No,unknown,Unknown,unknown,"Clinic , Washeteria",2300,No,2013,No,,,,,Unknown,,,,,204428,,, 
Wainwright,Yes,unknown,No,unknown,Unknown,unknown,Department of Municipal Services building,unknown,No,2012,No,,,,,Unknown,,,,,,,,Maintenance issues identified in feasibility study.  
Wales,Yes,unknown,No,unknown,Unknown,unknown,,unknown,Yes,Unknown,No,,,,,Unknown,,,,,,,http://akenergyinventory.org/catalog/entries/8404-wales-alaska-heat-recovery-study,Applying for design and construction for heat recovery.  Washeteria next to power plant.  Will expand the existing Washeteria - funded for construction in 2016 - 2017.  ANTHC is talking to VSW about funding opportunity for heat recovery.  Marine jacket conversion as part of the HR. - Follow-up in 2017.
Whale Pass,Yes,Unknown,No,unknown,Unknown,unknown,powerhouse only,unknown,No,Unknown,No,,,,,Unknown,,,,,,,Devany,Feasibility study complete - marginal economics
White Mountain,Yes,Unknown,No,unknown,Unknown,unknown,"Garage, WTP",unknown,No,2015,No,,,,,Unknown,,,,,,,,marine conversion complete.  Serving garage and plant. Potential opportunity to heat the new maintenance shop. 
Wrangell,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,,,,,Unknown,,,,,,,,Unknown
Yakutat,Yes,2013,No,unknown,Unknown,unknown,"School, Public Safety, ",unknown,No,2005,No,,,,,Unknown,,,,,,,,Energy audit with ANTHC - pipes in poor repair. No backup heating for school. No backup generators. 