Community,Installed Capacity (kW),Source,Installed but not operational (2016)
Ambler,10.6,ACEP,
Alatna,4,TCC,
Arctic Village,5,TCC,
Beaver,3,TCC,
Bethel,,,
Buckland,10.5,ACEP,
Central,4.3,NREL OpenPV,
Deering,11.1,ACEP,
Eagle,24,ACEP,
Eagle Village,3,TCC,
Evansville,6,TCC,
Fort Yukon,18,TCC,
Galena,40,TCC,
Glennallen,25,TCC,
Kake,5.8,AEA,
Kaltag,9.6,ACEP,
Kiana,10.5,ACEP,
Kivalina,10.5,ACEP,
Kobuk,7.4,ACEP,
Kotzebue,21,ACEP,
Koyukuk,5,TCC,
Manley Hot Springs,6,,
Naknek,,AEA,80
Noatak,11.3,ACEP,
Nome,16.8,AEA,
Noorvik,12,ACEP,
Northway,4,TCC,
Ruby,10,,
Selawik,9.7,ACEP,
Shungnak,7.5,ACEP,
Stevens Village,2,TCC,
Tanana,4,TCC,
Tok,23.4,RCA Net Metering,
Valdez,2.7,AEA,