#,,"L=1-3, M=4-5, H=6,7",,,-------Developability Factors--------,,,,,,,Key:  X: serious flaw->low potential,
name,Wind Potential,Wind-Resource,Assumed Wind Class,Wind Developability,Site Accessible ,Permittability,Site Availability,Load,Certainty,Estimated Generation,Estimated Cost,Note,Resource Note
Adak,H,H,6,H,Y,Y,Y,Y,L,,,CONCERN ON EXISTING GEN OVERSIZED,NO MET TOWER
Afognak,,,0,,,,,,,,,,
Akhiok,L,M,4,L,Y,Y,Y,X,M,,,POSSIBLY HIGHER WIND RESOURCE ON RIDGE 500' ELEV TO THE WEST,
Akiachak,L,L,2,M,Y,Y,N,Y,H,,,,
Akiak,L,L,2,M,Y,Y,N,Y,H,,,,
Akutan,L,H,6,L,Y,N,Y,X,L,,,LOAD <100 KW,NO MET TOWER
Alakanuk,M,M,4,H,Y,Y,Y,Y,H,,,OPERATING,
Alatna,L,L,2,L,Y,Y,Y,X,M,,,,
Aleknagik,M,H,6,M,N,Y,Y,Y,M,,,TIE TO DILLINGHAM.  HIGH RESOURCE IN CINNABAR MT.  POSS LARGER WTGS ON CINNABAR. ,"3 MET TOWERS IN DLG AREA, SO GOOD MODERATE OVERALL VALIDATION OF WIND MAP"
Aleneva,,,0,,,,,,,,,,
Allakaket,L,L,2,L,Y,Y,Y,X,M,,,,
Ambler,,,1,,,,,,M,,,,
Anaktuvuk Pass,,,2,,,,,,H,,,Met tower study,
Andreafsky,H,H,6,H,Y,Y,Y,Y,H,,,THROUGH 65% DESIGN,
Angoon,,,2,,,,,,,,,,
Aniak,L,L,2,M,Y,Y,N,Y,H,,,BETTER RESOURCE ACROSS RIVER BUT NEED SUB CABLE,"HIGH CERTAINTY BECAUSE OF OTHER MET TOWERS , UPRIVER"
Anvik,L,L,2,L,Y,Y,Y,X,M,,,,
Arctic Village,L,L,2,L,Y,Y,Y,X,M,,,,
Atka,M,H,6,M,Y,Y,Y,N,L,,,NEED LOAD FROM ATKA PRIDE,NO MET TOWER
Atmautluak,M,H,6,M,Y,Y,Y,Y,H,,,LITTLE LAND,MET TOWER >12
Atqasuk,,,3,,,,,,,,,Met tower study,
Attu,,,0,,,,,,,,,,
Ayakulik,,,0,,,,,,,,,,
Barrow,,,4,,,,,,,,,,
Beaver,L,L,2,L,Y,Y,Y,X,M,,,,
Bethel,H,M,4,H,Y,Y,Y,Y,H,,,"ECON OF SCALE HIGH in Bethel, therefore potential is high (see criteria).",
Bettles,L,L,2,L,N,Y,Y,X,M,,,,
Birch Creek,L,L,2,L,Y,Y,Y,X,M,,,,
Brevig Mission,,,7,,,,,,,,,,
Buckland,,,4,,,,,,,,,,
Central,L,L,2,L,Y,Y,Y,X,M,,,,
Chalkyitsik,L,L,2,L,Y,Y,Y,X,M,,,,
Chandalar,,,0,,,,,,,,,,
Chefornak,H,H,6,H,Y,Y,Y,Y,H,,,,MET TOWER >12
Chena Hot Springs,L,L,2,L,Y,Y,Y,X,M,,,,
Chenega Bay,L,L,2,L,Y,Y,Y,X,M,,,,
Chevak,H,H,6,H,,,,,H,,,OPERATING,
Chignik,L,H,6,L,N,Y,X,Y,H,,,CLASS 5-6 BUT HIGHLY TURBULENT SO NO SITE,MET >12
Chignik Lagoon,L,L,2,L,Y,Y,Y,X,H,,,,MET >12
Chignik Lake,L,M,4,L,Y,Y,Y,X,M,,,See Rich email 4/8/15.  ,MET >12
Chilkat Valley,,,0,,,,,,,,,,
Chiniak,,,5,,,,,,,,,,
Chisana,,,0,,,,,,,,,,
Chistochina,L,L,2,L,Y,Y,Y,X,M,,,,
Chitina,L,M,4,L,N,Y,Y,X,M,,,,MET<12
Chuathbaluk,L,L,2,L,N,N,N,X,M,,,,
Circle,L,L,2,L,Y,Y,Y,X,M,,,,
Clark's Point,L,M,4,L,Y,Y,Y,X,M,,,POTENTIAL BIRD PERMITTING ISSUES.,OTHER MET TOWERS IN AREA (DLG)
Coffman Cove,,,5,,,,,,,,,,
Cold Bay,H,H,6,H,Y,Y,Y,Y,H,,,,MET >12
Coldfoot,,,0,,,,,,,,,,
Copper Center,L,L,2,H,Y,Y,Y,Y,M,,,,
Cordova,M,M,4,H,Y,Y,Y,Y,H,,,,"MET>12 IN TWO SITES, MORE PLANNED"
Covenant Life,,,0,,,,,,,,,,
Craig,,,7,,,,,,,,,,
Crooked Creek,L,L,2,L,X,N,N,X,M,,,,
Deering,,,3,,,,,,,,,,
Dillingham,M,M,4,H,Y,Y,Y,Y,H,,,,
Diomede,,,7,,,,,,,,,,
Dot Lake,L,L,2,H,Y,Y,Y,Y,M,,,TIE TO TOK,
Dot Lake Village,,,4,,,,,,,,,,
Douglas,,,0,,,,,,,,,,
Dry Creek,,,0,,,,,,,,,,
Dutch Harbor,,,0,,,,,,,,,See Unalaska,
Eagle,L,L,2,L,Y,Y,Y,X,M,,,,
Eagle Village,,,4,,,,,,,,,,
Edna Bay,,,0,,,,,,,,,,
Eek,M,M,4,M,N,N,N,Y,M,,,,
Egegik,L,M,4,L,Y,Y,Y,X,M,,,,MET <12
Ekwok,L,L,2,L,N,Y,N,X,M,,,POSS TIE TO NEW STUYAKOK.,
Elfin Cove,,,7,,,,,,,,,But bear in mind the population and electric load is too small to justify an energy project.,
Elim,,,4,,,,,,H,,,Met tower study,
Emmonak,M,M,4,H,Y,Y,Y,Y,H,,,OPERATING,
Evansville,,,3,,,,,,,,,,
Eyak,M,M,4,H,Y,Y,Y,Y,H,,,,"MET>12 IN TWO SITES, MORE PLANNED"
False Pass,L,H,7,L,Y,Y,Y,X,H,,,CDR BY MARSH CR:  NEED RPSU,MET >12
Fort Yukon,L,L,2,H,Y,Y,Y,,M,,,,
Gakona,L,L,2,M,N,Y,Y,Y,H,,,MET TOWER NEAR GAKONA,MET>12
Galena,L,L,2,H,Y,Y,Y,,M,,,,
Gambell,,,7,,,,,,,,,,
Glennallen,L,L,2,H,Y,Y,Y,Y,M,,,,
Golovin,,,4,,,,,,,,,,
Goodnews Bay,H,H,6,H,Y,Y,Y,Y,H,,,,
Grayling,L,L,2,L,Y,Y,Y,X,M,,,,
Gulkana,L,L,2,H,Y,Y,Y,Y,M,,,,
Gustavus,,,1,,,,,,,,,,
Haines,,,3,,,,,,M,,,Nbased on partial met study,
Healy Lake,L,L,2,L,Y,Y,Y,X,M,,,,
Hollis,,,5,,,,,,,,,,
Holy Cross,L,L,2,L,Y,Y,Y,X,M,,,,
Hoonah,,,4,,,,,,,,,,
Hooper Bay,H,H,6,H,,,,,H,,,OPERATING,
Hughes,L,L,2,L,Y,Y,Y,X,L,,,10 M MET TOWER INSTALLED TO VERIFY WIND MAP,
Huslia,L,L,2,H,Y,Y,Y,,M,,,,
Hydaburg,,,4,,,,,,,,,,
Hyder,,,0,,,,,,,,,,
Igiugig,L,L,2,L,Y,Y,Y,X,H,,,,MET >12
Iliamna,L,L,2,H,Y,Y,Y,Y,L,,,TIE TO ILIAMNA NEWHALEN AND NONDALTON,
Ivanof Bay,,,0,,,,,,,,,,
Jakolof Bay,,,0,,,,,,,,,,
Juneau,,,6,,,,,,,,,,
Kake,,,3,,,,,,H,,,Two met tower studies,
Kaktovik,,,5,,,,,,,,,,
Kalskag,M,M,4,M,Y,Y,Y,Y,L,,,ASSUME THIS IS UPPER KALSKAG,NO ONE FROM KALSKAG HAS APPROACHED
Kaltag,L,L,2,L,Y,Y,Y,X,M,,,,
Karluk,L,L,2,L,Y,N,N,X,L,,,LIKELY STRONG BUT SEVERE WIND RESOURCE ON RIDGE,
Kasaan,,,3,,,,,,,,,,
Kasigluk,H,H,6,H,,,,,H,,,OPERATING,
Kenny Lake,L,L,2,H,Y,Y,Y,Y,M,,,,
Ketchikan,,,6,,,,,,,,,,
Kiana,,,2,,,,,,,,,,
King Cove,H,H,6,H,Y,Y,Y,Y,L,,,"ONE NET STUDY FOUND TURBULENCE, OTHER SITES LIKELY AVAIL BUT NOT STUDIED",
King Salmon,M,M,4,H,Y,Y,Y,Y,H,,,"TIE TO NAKNEK, KING SALMON AND S NAKNEK",MET>12
Kipnuk,M,H,6,M,Y,Y,Y,Y,M,,,CONFLICT IN COMMUNITY BETWEEN CITY AND TRIBE,MET TOWER <12
Kivalina,,,5,,,,,,,,,,
Klawock,,,3,,,,,,,,,,
Klukwan,,,1,,,,,,,,,,
Kobuk,,,1,,,,,,,,,,
Kodiak,M,H,6,M,Y,Y,Y,N,H,,,RENEWABLE ENERGY PENETRATION AT 99%.  ADDITIONAL LOAD FOR WIND IS AN ISSUE.,
Kodiak Station,,,0,,,,,,,,,,
Kokhanok,H,H,6,H,,,,H,H,,,OPERATING,
Koliganek,M,M,4,H,Y,Y,Y,Y,H,,,,MET >12
Kongiganak,H,H,6,H,,,,,H,,,OPERATING,
Kotlik,M,M,4,M,N,N,N,Y,L,,,,
Kotzebue,,,4,,,,,,,,,,
Koyuk,,,4,,,,,,,,,,
Koyukuk,L,L,2,L,Y,Y,Y,X,L,,,HIGH TERRAIN NEARBY MAY HOLD WIND RESOURCE,
Kwethluk,L,L,2,L,Y,Y,N,Y,H,,,"LOCAL GOVT SLOW ON REPORTS, NO GOOD WIND SITES",MET TOWER >12
Kwigillingok,H,H,6,H,,,,,H,,,OPERATING,
Lake Minchumina,L,L,2,L,Y,Y,Y,X,M,,,NO CENTRAL POWER SYSTEM,
Larsen Bay,L,M,4,L,Y,Y,Y,X,M,,,,
Levelock,L,L,2,L,Y,Y,Y,X,L,,,,
Lime Village,L,L,2,L,N,N,N,X,M,,,,
Lower Kalskag,M,M,4,M,Y,Y,Y,Y,L,,,TIE TO UPPER KALSKAG WHERE WIND PROJECT HAS POTENTIAL SITE,
Manley Hot Springs,L,M,4,L,Y,Y,Y,X,L,,,,
Manokotak,M,M,4,H,Y,Y,Y,Y,H,,,POSS TIE DILLINGHAM,MET >12
Marshall,M,M,4,M,Y,Y,Y,Y,H,,,,MET TOWER >12
Mary's Igloo,,,0,,,,,,,,,,
McCarthy,L,L,2,L,Y,Y,Y,X,M,,,,
McGrath,L,L,2,H,Y,Y,Y,,M,,,,
Mekoryuk,H,H,6,H,,,,,H,,,OPERATING,
Mendeltna,,,1,,,,,,,,,,
Mentasta Lake,L,M,4,L,Y,Y,Y,X,L,,,,
Mertarvik,L,H,6,L,Y,Y,Y,X,M,,,,MET TOWER AT NEWTOK COMPARISON
Metlakatla,,,3,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Minto,L,M,4,L,Y,Y,Y,X,L,,,,
Mountain Village,M,H,6,M,Y,Y,Y,Y,H,,,"FEAS UNDERWAY, WIND STABLE, NEED FEAS COMPLETE",MET TOWER >12
Mud Bay,,,0,,,,,,,,,,
Nabesna,,,0,,,,,,,,,,
Naknek,M,M,4,H,Y,Y,Y,Y,H,,,"TIE TO NAKNEK, KING SALMON AND S NAKNEK",MET>12
Nanwalek,,,0,,,,,,,,,,
Napaimute,,,0,,,,,,,,,,
Napakiak,M,M,4,M,Y,Y,Y,Y,H,,,LARGER BETHEL TURBINES BETTER BET,MET TOWER >12
Napaskiak,L,L,2,M,Y,Y,N,Y,H,,,,MET TOWER >12
Naukati Bay,,,0,,,,,,,,,,
Nelchina,L,L,2,H,Y,Y,Y,Y,M,,,,
Nelson Lagoon,L,H,6,L,Y,N,Y,X,M,,,"PERMITTING DIFFICULT BECAUSE ON SPIT.  MONOPOLE W ANEM, VANE ONSITE.",
Nenana,M,M,4,H,Y,Y,Y,,L,,,,
New Allakaket,,,1,,,,,,,,,,
New Stuyahok,M,M,4,M,Y,Y,Y,Y,H,,,POSS TIE EKWOK.  SITING ISSUES AT OLD AIRPORT.,MET >12
Newhalen,M,M,4,H,Y,Y,Y,Y,L,,,TIE TO ILIAMNA NEWHALEN AND NONDALTON,
Newtok,L,H,6,L,,,,,M,,,DEVELOPABILITY LOW SINCE MOVING,20 M MET TOWER 
Nightmute,H,H,6,H,,,,,H,,,OPERATING,
Nikolaevsk,,,0,,,,,,,,,,
Nikolai,L,L,2,L,Y,Y,Y,X,M,,,,
Nikolski,L,H,6,L,Y,Y,Y,X,H,,,PROJECT IN PLACE BUT NOT FUNCTIONING,MET >12
Noatak,,,1,,,,,,,,,,
Nome,,,7,,,,,,,,,,
Nondalton,L,L,2,L,N,Y,N,Y,M,,,TIE TO ILIAMNA NEWHALEN AND NONDALTON,
Noorvik,,,3,,,,,,,,,Class 3 sites are in FAA approach or far east of town.,
Northway,L,L,2,H,Y,Y,Y,,M,,,,
Northway Junction,,,2,,,,,,,,,,
Northway Village,,,1,,,,,,,,,,
Nuiqsut,,,3,,,,,,,,,,
Nulato,L,L,2,H,Y,Y,Y,,M,,,,
Nunam Iqua,M,M,4,M,Y,Y,Y,Y,H,,,LIMITED SITES AND BARELY ENOUGH LOAD.  PURSUING EE AND DIESEL PLANT UPGRADES,>12 MONTHS
Nunapitchuk,H,H,6,H,,,,,H,,,OPERATING,
Old Harbor,L,L,2,H,Y,Y,Y,Y,M,,,"AVE LOAD = 97 KW, THUS <100, BUT LOAD ASSUMED ACCEPTABLE.",
Oscarville,H,M,4,H,Y,Y,Y,Y,H,,,TIED TO BETHEL.  ECON OF SCALE HIGH.,
Ouzinkie,L,M,4,L,Y,Y,Y,X,M,,,,
Paxson,,,0,,,,,,,,,,
Pedro Bay,L,M,4,L,Y,Y,Y,X,L,,,,
Pelican,,,3,,,,,,,,,,
Perryville,M,H,6,M,Y,Y,Y,X,H,,,"OPERATING, BUT ONLY 2-PHASE POWER TO WIND FARM, SO UNBALANCED.  Developability assigned M since project in place, despite low load.",MET>12
Petersburg,,,5,,,,,,,,,,
Pilot Point,M,M,4,M,Y,Y,Y,X,H,,,"OPERATING 10 KW, NON-OPERATING 10 KW",MET>12
Pilot Station,M,M,4,H,Y,Y,Y,Y,M,,,"CONSIDERED FOR TIE TO ST MARYS, BUT MUSHY AND EXPENSIVE?.    ","NO MET TOWER, BUT NEARBY MET TOWERS IN MARSHALL AND PITKAS"
Pitkas Point,H,H,6,H,Y,Y,Y,Y,H,,,THROUGH 65% DESIGN,
Platinum,L,H,6,L,N,X,N,N,L,,,,
Point Hope,,,6,,,,,,,,,Met tower study,
Point Lay,,,5,,,,,,,,,Met tower study,
Port Alexander,,,0,,,,,,,,,,
Port Alsworth,L,L,2,L,Y,Y,Y,X,H,,,,MET >12
Port Clarence,,,0,,,,,,,,,,
Port Graham,,,0,,,,,,,,,,
Port Heiden,L,M,4,L,Y,Y,Y,X,H,,,"RPSU CDR IN PROGRESS, WILL CONSIDER WIND",MET >12
Port Lions,M,H,6,M,Y,Y,Y,N,H,,,RENEWABLE ENERGY PENETRATION AT 99%.  ADDITIONAL LOAD FOR WIND IS AN ISSUE.,
Quinhagak,H,H,6,H,,,,,H,,,OPERATING,
Rampart,L,L,2,L,Y,Y,Y,X,M,,,,
Red Devil,L,M,4,L,X,N,N,X,L,,,,
Ruby,L,L,2,L,Y,Y,Y,X,M,,,,
Russian Mission,L,L,2,H,Y,Y,Y,Y,M,,,OTHER MET TOWERS NEARBY,
Saint George,H,H,6,H,,,,,H,,,RPSU COMPLETED.  PROJECT SOON TO OPERATE,MET >12
Saint Mary's,H,H,6,H,Y,Y,Y,Y,H,,,THROUGH 65% DESIGN,
Saint Michael,,,5,,,,,,,,,Met tower study,
Saint Paul,H,H,6,H,,,,,H,,,OPERATING,
Salamatof,,,0,,,,,,,,,,
Sand Point,H,H,6,H,,,,,H,,,OPERATING,
Savoonga,,,6,,,,,,,,,,
Saxman,,,3,,,,,,,,,,
Scammon Bay,M,H,6,M,N,Y,Y,Y,M,,,NO EXISTING ROAD TO WIND SITE,
Selawik,,,3,,,,,,,,,,
Shageluk,L,L,2,L,Y,Y,Y,X,M,,,,
Shaktoolik,,,4,,,,,,,,,,
Shishmaref,,,5,,,,,,,,,,
Shungnak,,,3,,,,,,,,,Met tower study,
Silver Springs,L,L,2,H,Y,Y,Y,Y,M,,,,
Sitka,,,7,,,,,,,,,,
Skagway,,,3,,,,,,,,,,
Slana,L,L,2,L,Y,Y,Y,X,M,,,,
Sleetmute,L,H,6,L,X,N,N,X,L,,,,
South Naknek,M,M,4,H,Y,Y,Y,Y,H,,,"TIE TO NAKNEK, KING SALMON AND S NAKNEK",MET >12
Stebbins,,,5,,,,,,,,,Met tower Study,
Stevens Village,L,L,2,L,Y,Y,Y,X,M,,,,
Stony River,L,L,2,L,,,,X,M,,,,
Takotna,L,M,4,L,Y,Y,Y,X,L,,,,
Tanacross,L,L,2,H,Y,Y,Y,,M,,,,
Tanana,M,M,4,H,Y,Y,Y,,L,,,,
Tatitlek,L,L,2,L,Y,Y,Y,X,H,,,,MET>12
Tazlina,L,L,2,H,Y,Y,Y,Y,L,,,,
Telida,L,L,2,L,Y,Y,Y,X,M,,,,
Teller,,,5,,,,,,,,,Met tower study,
Tenakee Springs,,,3,,,,,,,,,,
Tetlin,M,M,4,H,Y,Y,Y,,L,,,MET TOWER INSTALLED OCT 2014 ON TETLIN RD,
Thorne Bay,,,1,,,,,,,,,,
Togiak,M,M,4,M,Y,Y,N,Y,H,,,"POSS TIE TO TWIN HILLS, TOGIAK",MET >12
Tok,M,M,4,H,Y,Y,Y,,M,,,7-MILE RIDGE MET TOWER,
Toksook Bay,H,H,6,H,,,,,H,,,OPERATING,
Tolsona,M,M,4,H,Y,Y,Y,Y,H,,,"MET TOWER ON TOLSONA RIDGE INDICATES CF=22, BUT WIND CLASS 2",
Tonsina,L,L,2,H,Y,Y,Y,Y,L,,,POSSIBLE WIND RESOURCE SOUTH OF WILLOW MT,
Tuluksak,L,M,4,L,N,Y,N,,M,,,,
Tuntutuliak,H,H,6,H,,,,,H,,,OPERATING,
Tununak,H,H,6,H,,,,,H,,,OPERATING,
Twin Hills,L,L,2,L,Y,Y,Y,X,M,,,"POSS TIE TO TWIN HILLS, TOGIAK",
Two Rivers,,,0,,,,,,,,,,
Tyonek,,,0,,,,,,,,,,
Unalakleet,,,4,,,,,,,,,,
Unalaska,H,H,6,H,Y,Y,Y,Y,L,,,"1999 STUDY INDICATED TURBULENCE, NO MET TOWER",
Valdez,M,M,4,H,Y,Y,Y,Y,H,,,MET ON THOMSON PASS INDICATED TURBULENCE,MET>12
Venetie,L,L,2,L,Y,Y,Y,X,M,,,,
Wainwright,,,5,,,,,,,,,,
Wales,,,7,,,,,,,,,,
Ward Cove,,,0,,,,,,,,,,
Whale Pass,,,2,,,,,,,,,,
White Mountain,,,3,,,,,,,,,,
Whitestone,,,0,,,,,,,,,,
Whitestone Logging Camp,,,0,,,,,,,,,,
Whittier,M,M,4,M,N,Y,Y,Y,L,,,,
Willow Creek,,,2,,,,,,,,,,
Wiseman,,,0,,,,,,,,,,
Womens Bay,,,6,,,,,,,,,Tied in with kodiak?,
Wrangell,,,4,,,,,,,,,,
Yakutat,,,2,,,,,,,,,,